rfi_id,section,question,status
RFI-MER-001,21 22 00,Confirm whether ADD-001 revises chiller full-load COP from 6.0 to 6.3 and whether R1 shall supersede R0.,Closed
RFI-MER-002,23 21 13,Confirm interpretation and acceptance evidence for Section 23 21 13 clause 2.2.D.,Answered
RFI-MER-003,23 64 26,Confirm interpretation and acceptance evidence for Section 23 64 26 clause 2.3.D.,Open
RFI-MER-004,23 65 00,Confirm interpretation and acceptance evidence for Section 23 65 00 clause 3.3.B.,Closed
RFI-MER-005,23 09 23,Confirm interpretation and acceptance evidence for Section 23 09 23 clause 2.2.A.,Answered
RFI-MER-006,25 50 00,Confirm interpretation and acceptance evidence for Section 25 50 00 clause 2.3.C.,Open
RFI-MER-007,26 05 26,Confirm interpretation and acceptance evidence for Section 26 05 26 clause 3.3.C.,Closed
RFI-MER-008,26 24 13,Confirm interpretation and acceptance evidence for Section 26 24 13 clause 3.5.B.,Answered
RFI-MER-009,26 32 13,Confirm interpretation and acceptance evidence for Section 26 32 13 clause 2.1.B.,Open
RFI-MER-010,26 33 53,Confirm interpretation and acceptance evidence for Section 26 33 53 clause 2.4.C.,Closed
RFI-MER-011,27 15 00,Confirm interpretation and acceptance evidence for Section 27 15 00 clause 2.4.D.,Answered
RFI-MER-012,28 31 11,Confirm interpretation and acceptance evidence for Section 28 31 11 clause 3.6.A.,Open
RFI-MER-013,21 22 00,Confirm interpretation and acceptance evidence for Section 21 22 00 clause 2.2.A.,Closed
RFI-MER-014,23 21 13,Confirm interpretation and acceptance evidence for Section 23 21 13 clause 2.2.D.,Answered
RFI-MER-015,23 64 26,Confirm interpretation and acceptance evidence for Section 23 64 26 clause 2.3.D.,Open
RFI-MER-016,23 65 00,Confirm interpretation and acceptance evidence for Section 23 65 00 clause 3.3.B.,Closed
RFI-MER-017,23 09 23,Confirm interpretation and acceptance evidence for Section 23 09 23 clause 2.2.A.,Answered
RFI-MER-018,25 50 00,Confirm interpretation and acceptance evidence for Section 25 50 00 clause 2.3.C.,Open
