po_number,equipment_tag,spec_section,vendor,item_description,value_inr,order_date,lead_time_weeks,delivery_status
PO-263353-H1,UPS-01-01,26 33 53,VoltEdge Power Systems,VoltEdge PX-1200 UPS Module 1200kW Hall 1,25000000,2026-01-10,24,DELIVERED
PO-263353-H2,UPS-02-01,26 33 53,VoltEdge Power Systems,VoltEdge PX-1200 UPS Module 1200kW Hall 2,25000000,2026-01-10,24,DELIVERED
PO-263353-H3,UPS-03-01,26 33 53,VoltEdge Power Systems,VoltEdge PX-1200 UPS Module 1200kW Hall 3,25000000,2026-01-10,24,DELIVERED
PO-263353-H4,UPS-04-01,26 33 53,VoltEdge Power Systems,VoltEdge PX-1200 UPS Module 1200kW Hall 4,25000000,2026-01-10,24,DELIVERED
PO-263213-G1,GEN-01-01,26 32 13,Deccan Diesel Co.,Deccan DD-2500 Generator Set 2500kVA Hall 1,38000000,2026-01-15,40,IN_TRANSIT
PO-263213-G2,GEN-02-01,26 32 13,Deccan Diesel Co.,Deccan DD-2500 Generator Set 2500kVA Hall 2,38000000,2026-01-15,40,IN_TRANSIT
PO-263213-G3,GEN-03-01,26 32 13,Deccan Diesel Co.,Deccan DD-2500 Generator Set 2500kVA Hall 3,38000000,2026-01-15,40,IN_TRANSIT
PO-263213-G4,GEN-04-01,26 32 13,Deccan Diesel Co.,Deccan DD-2500 Generator Set 2500kVA Hall 4,38000000,2026-01-15,40,IN_TRANSIT
PO-238123-H1,CRAH-01-01,23 81 23,CryoCore Climate,CryoCore CR-250 CRAH Unit Hall 1,3500000,2026-02-01,16,DELIVERED
PO-238123-H2,CRAH-02-01,23 81 23,CryoCore Climate,CryoCore CR-250 CRAH Unit Hall 2,3500000,2026-02-01,16,DELIVERED
PO-238123-H3,CRAH-03-01,23 81 23,CryoCore Climate,CryoCore CR-250 CRAH Unit Hall 3,3500000,2026-02-01,16,DELIVERED
PO-238123-H4,CRAH-04-01,23 81 23,CryoCore Climate,CryoCore CR-250 CRAH Unit Hall 4,3500000,2026-02-01,16,DELIVERED
PO-261326-SW01,SWG-PANEL-01,26 13 26,Trident Switchgear,Trident T-2000 Switchgear Panel 1,12000000,2026-01-20,28,DELIVERED
PO-261326-SW02,SWG-PANEL-02,26 13 26,Trident Switchgear,Trident T-2000 Switchgear Panel 2,12000000,2026-01-20,28,DELIVERED
PO-261326-SW03,SWG-PANEL-03,26 13 26,Trident Switchgear,Trident T-2000 Switchgear Panel 3,12000000,2026-01-20,28,DELIVERED
PO-261326-SW04,SWG-PANEL-04,26 13 26,Trident Switchgear,Trident T-2000 Switchgear Panel 4,12000000,2026-01-20,28,DELIVERED
PO-261326-SW05,SWG-PANEL-05,26 13 26,Trident Switchgear,Trident T-2000 Switchgear Panel 5,12000000,2026-01-20,28,DELIVERED
PO-261326-SW06,SWG-PANEL-06,26 13 26,Trident Switchgear,Trident T-2000 Switchgear Panel 6,12000000,2026-01-20,28,DELIVERED
PO-261326-SW07,SWG-PANEL-07,26 13 26,Trident Switchgear,Trident T-2000 Switchgear Panel 7,12000000,2026-01-20,28,DELIVERED
PO-261326-SW08,SWG-PANEL-08,26 13 26,Trident Switchgear,Trident T-2000 Switchgear Panel 8,12000000,2026-01-20,28,DELIVERED
PO-261326-SW09,SWG-PANEL-09,26 13 26,Trident Switchgear,Trident T-2000 Switchgear Panel 9,12000000,2026-01-20,28,DELIVERED
PO-261326-SW10,SWG-PANEL-10,26 13 26,Trident Switchgear,Trident T-2000 Switchgear Panel 10,12000000,2026-01-20,28,DELIVERED
PO-212200-Z01,FIRE-SYS-01,21 22 00,AegisFire Systems,Aegis CleanAgent ECS-500 Zone 1 System,4500000,2026-02-10,12,DELIVERED
PO-212200-Z02,FIRE-SYS-02,21 22 00,AegisFire Systems,Aegis CleanAgent ECS-500 Zone 2 System,4500000,2026-02-10,12,DELIVERED
PO-212200-Z03,FIRE-SYS-03,21 22 00,AegisFire Systems,Aegis CleanAgent ECS-500 Zone 3 System,4500000,2026-02-10,12,DELIVERED
PO-212200-Z04,FIRE-SYS-04,21 22 00,AegisFire Systems,Aegis CleanAgent ECS-500 Zone 4 System,4500000,2026-02-10,12,DELIVERED
PO-212200-Z05,FIRE-SYS-05,21 22 00,AegisFire Systems,Aegis CleanAgent ECS-500 Zone 5 System,4500000,2026-02-10,12,DELIVERED
PO-212200-Z06,FIRE-SYS-06,21 22 00,AegisFire Systems,Aegis CleanAgent ECS-500 Zone 6 System,4500000,2026-02-10,12,DELIVERED
PO-212200-Z07,FIRE-SYS-07,21 22 00,AegisFire Systems,Aegis CleanAgent ECS-500 Zone 7 System,4500000,2026-02-10,12,DELIVERED
PO-212200-Z08,FIRE-SYS-08,21 22 00,AegisFire Systems,Aegis CleanAgent ECS-500 Zone 8 System,4500000,2026-02-10,12,DELIVERED
